"number","ampr_nb","tumbon_nb","ampr_main_nb","tumbon_main_nb"
1,"30","04","07","03"
4,"30","04","08","02"
33,"30","04","37","02"
20,"30","04","41","01"
1,"30","05","41","01"
2,"31","02","04","02"
2,"31","02","07","02"
3,"31","02","08","02"
1786,"31","03","31","01"
1,"31","03","42","03"
2,"31","03","04","02"
3,"31","03","07","02"
749,"31","02","31","01"
1,"31","03","08","02"
1,"31","03","17","02"
2,"31","03","32","01"
2,"31","03","35","03"
4,"32","02","34","01"
1,"32","02","10","01"
652,"32","02","32","01"
21,"32","02","43","01"
1,"32","01","34","01"
15,"33","01","05","02"
2,"33","01","07","02"
4,"33","01","08","02"
666,"33","01","31","01"
3,"33","01","33","02"
1,"33","01","37","01"
6,"33","02","07","03"
158,"33","02","08","02"
1,"33","02","31","01"
1,"33","01","04","02"
16,"33","01","07","03"
1,"33","01","15","04"
4,"33","01","24","02"
1,"33","01","32","01"
575,"33","01","33","03"
2,"33","01","47","01"
2816,"34","01","32","01"
3,"34","01","07","03"
8,"34","01","10","01"
1,"34","01","15","04"
2,"34","01","17","02"
7,"34","01","31","01"
2,"34","01","32","02"
255,"34","01","34","01"
6,"34","01","37","01"
1,"34","01","41","01"
338,"34","01","43","01"
1,"34","01","04","02"
3,"34","01","07","02"
8,"34","01","08","02"
4,"34","01","20","04"
5,"34","01","33","03"
1,"34","01","39","03"
3,"34","01","42","03"
1,"34","01","47","01"
19,"34","02","34","01"
